scientificName,description
Acrocephalus arundinaceus,"Acrocephalus arundinaceus, commonly known as the great reed warbler, is a large passerine bird species within the family Acrocephalidae. It primarily inhabits dense reed beds in freshwater wetlands, rivers, and lakes across temperate and subtropical regions of Europe and western Asia. Its distribution extends from Western Europe eastwards to Central Asia, with migratory populations wintering in sub-Saharan Africa. The diet mainly consists of insects and other small invertebrates, supplemented occasionally by berries. Behaviorally, it is noted for its loud, repetitive song used in territorial displays and courtship. Currently, the species is classified as Least Concern by the IUCN, reflecting stable population trends."
Acrocephalus dumetorum,"Acrocephalus dumetorum, commonly known as the Blyth's Reed Warbler, is a small passerine bird belonging to the family Acrocephalidae. It inhabits dense scrub, thickets, and reed beds, primarily favoring moist environments such as riverine and wetland areas. The species has a broad distribution across parts of South Asia, extending from the Indian subcontinent into Southeast Asia. Its diet mainly consists of insects and other small invertebrates, which it forages for among dense vegetation. Behaviorally, A. dumetorum is known for its secretive nature and distinctive, repetitive song used during the breeding season. The species is currently classified as Least Concern by the IUCN, with stable population trends."
Acrocephalus palustris,"Acrocephalus palustris, commonly known as the marsh warbler, is a small passerine bird of the family Acrocephalidae. It primarily inhabits dense low vegetation such as reed beds, marshes, and wet meadows across Europe and western Asia. Its breeding range extends from western Europe to western Siberia, with migratory movements to sub-Saharan Africa during the non-breeding season. The diet consists mainly of insects and other small invertebrates, which it forages for among dense foliage. The species is notable for its complex vocal mimicry. Currently, Acrocephalus palustris is classified as Least Concern by the IUCN, reflecting a stable population trend."
Acrocephalus schoenobaenus,"Acrocephalus schoenobaenus, commonly known as the Sedge Warbler, is a small passerine bird belonging to the family Acrocephalidae. It is widely distributed across Europe and western Asia, primarily inhabiting wetlands, reed beds, and dense vegetation near water bodies. The species is migratory, wintering in sub-Saharan Africa. Its diet mainly consists of insects and other small invertebrates, occasionally supplemented by berries. The Sedge Warbler exhibits distinctive vocal behavior during the breeding season, including a complex and varied song used for territory defense and mate attraction. Currently, its conservation status is classified as Least Concern by the IUCN, reflecting stable population trends across its range."
Acrocephalus scirpaceus,"Acrocephalus scirpaceus, commonly known as the Eurasian reed warbler, is a small passerine bird primarily inhabiting reed beds across Europe, western Asia, and parts of North Africa. Its preferred habitat includes dense stands of common reed (Phragmites australis) near wetlands, lakes, and rivers. The species is insectivorous, feeding mainly on insects and spiders, which it forages from reed stems and leaves. Acrocephalus scirpaceus is migratory, breeding in temperate regions during spring and summer and wintering in sub-Saharan Africa. It exhibits territorial behavior during breeding and builds cup-shaped nests concealed within reeds. Currently, the species is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Actitis hypoleucos,"Actitis hypoleucos, commonly known as the common sandpiper, is a small wader species found across temperate and subtropical Eurasia and parts of Africa. It inhabits freshwater and coastal environments, including riverbanks, lakeshores, and estuaries, typically favoring open, muddy or sandy substrates. Its diet primarily consists of insects, crustaceans, and other small invertebrates, which it forages by probing and pecking along the water's edge. The species exhibits characteristic tail-bobbing behavior and is migratory, wintering in southern Asia and Africa. Actitis hypoleucos is currently classified as Least Concern by the IUCN, reflecting its wide distribution and stable population trends."
Aegithalos caudatus,"Aegithalos caudatus, commonly known as the long-tailed tit, is a small passerine bird characterized by its distinctive long tail and rounded body. It inhabits a range of wooded environments, including deciduous and mixed forests, as well as gardens and hedgerows across much of Europe and parts of Asia. Its diet primarily consists of insects and other small invertebrates, supplemented by seeds during winter months. The species exhibits social behavior, often forming flocks outside the breeding season. Nest construction is notable for its elaborate, domed structure made from moss and spider silk. Currently, Aegithalos caudatus is classified as Least Concern due to its wide distribution and stable population trends."
Alauda arvensis,"Alauda arvensis, commonly known as the Eurasian skylark, is a passerine bird widely distributed across Europe, Asia, and parts of North Africa. It typically inhabits open landscapes such as grasslands, agricultural fields, and heathlands, favoring areas with low vegetation. The species primarily feeds on seeds and insects, especially during the breeding season when protein demand increases. Skylarks are renowned for their elaborate, sustained song delivered during their characteristic soaring flight. They are primarily ground-nesting birds, exhibiting territorial behavior during the breeding period. Currently, the Eurasian skylark is classified as Least Concern by the IUCN, although localized declines have been recorded due to agricultural intensification and habitat loss."
Anas crecca,"Anas crecca, commonly known as the Eurasian teal or common teal, is a small dabbling duck species found across temperate Eurasia and parts of North Africa. It inhabits a variety of freshwater wetlands, including marshes, lakes, and slow-moving rivers, often favoring shallow water with abundant vegetation. The species primarily feeds on seeds, aquatic invertebrates, and plant material, foraging by dabbling at the water’s surface. Anas crecca exhibits migratory behavior, breeding in northern regions and wintering in milder climates. It is generally social, often forming flocks outside the breeding season. The International Union for Conservation of Nature (IUCN) currently lists the Eurasian teal as Least Concern, reflecting its wide distribution and stable population trends."
Anas platyrhynchos,"Anas platyrhynchos, commonly known as the mallard, is a highly adaptable and widespread dabbling duck species native to North America, Europe, and Asia. It inhabits a variety of freshwater environments, including lakes, rivers, ponds, marshes, and estuaries. The mallard’s diet is omnivorous, consisting primarily of aquatic vegetation, seeds, insects, and small invertebrates. Behaviorally, mallards are known for their seasonal migration patterns, social foraging, and complex courtship displays. They are generally monogamous during the breeding season. The International Union for Conservation of Nature (IUCN) currently classifies Anas platyrhynchos as Least Concern, reflecting its stable and abundant global population."
Anser anser,"Anser anser, commonly known as the greylag goose, is a large waterfowl species native to Europe and parts of Asia. Its preferred habitats include wetlands, marshes, lakes, and agricultural fields. The species is widely distributed across temperate regions, breeding mostly in northern and central Europe and Asia, with migratory populations wintering further south. Anser anser primarily feeds on grasses, roots, and aquatic plants, occasionally grazing on farmland crops. Behaviorally, the species is social, often forming large flocks outside the breeding season, and is known for its loud, honking calls. The greylag goose is classified as Least Concern by the IUCN due to its stable population and extensive range."
Anthus pratensis,"Anthus pratensis, commonly known as the Meadow Pipit, is a small passerine bird widely distributed across Europe and parts of Asia. It predominantly inhabits open habitats such as grasslands, moorlands, and heathlands, favoring areas with low vegetation. Its diet mainly consists of insects and other small invertebrates, supplemented by seeds during winter. The Meadow Pipit exhibits characteristic ground foraging behavior and a distinctive undulating flight pattern. It is generally a solitary or paired species outside the breeding season. Currently, Anthus pratensis is classified as Least Concern by the IUCN, reflecting its stable population trend across its extensive range."
Anthus trivialis,"Anthus trivialis, commonly known as the Tree Pipit, is a small passerine bird widely distributed across Europe and parts of Asia. It inhabits open woodlands, forest edges, and clearings, often favoring areas with scattered trees and shrubs. The species primarily feeds on insects and other small invertebrates, supplemented by seeds during the non-breeding season. Behaviorally, the Tree Pipit is known for its distinctive song flight, characterized by an ascending display accompanied by vocalizations used to establish territory and attract mates. Migratory by nature, it winters in sub-Saharan Africa. Currently, Anthus trivialis is classified as Least Concern by the IUCN, reflecting stable population trends without significant threats."
Ardea cinerea,"Ardea cinerea, commonly known as the grey heron, is a large wading bird distributed across Europe, Asia, and parts of Africa. It inhabits wetlands, including rivers, lakes, marshes, and coastal areas, where it prefers shallow waters for foraging. The grey heron's diet primarily consists of fish, amphibians, small mammals, and insects, which it captures using a slow, deliberate hunting technique. This species is largely solitary during feeding but may nest colonially in trees near water bodies. Classified as Least Concern by the IUCN, Ardea cinerea maintains stable populations, benefiting from its adaptability to diverse wetland environments despite localized habitat disturbances."
Asio otus,"Asio otus, commonly known as the Long-eared Owl, is a medium-sized owl species characterized by prominent ear tufts and mottled brown and buff plumage. It occupies a wide range of habitats, including mixed woodlands, coniferous forests, and shrublands, often near open areas for hunting. This species exhibits a Holarctic distribution, found across North America, Europe, and parts of Asia. Its diet primarily consists of small mammals, particularly rodents, supplemented by birds and insects. Long-eared Owls are largely nocturnal and roost communally outside the breeding season. Currently, Asio otus is classified as Least Concern by the IUCN, reflecting a stable global population despite localized threats such as habitat loss."
Athene noctua,"Athene noctua, commonly known as the little owl, is a small owl species distributed across Europe, North Africa, and parts of Asia. It typically inhabits open and semi-open landscapes, including farmland, orchards, and rural settlements, often favoring areas with scattered trees and old buildings. The little owl's diet primarily consists of insects, small mammals, birds, and reptiles, reflecting its opportunistic feeding behavior. It is predominantly nocturnal but can also be active during daylight. Breeding usually occurs in tree cavities, cliffs, or man-made structures. Currently, Athene noctua is classified as Least Concern by the IUCN due to its wide range and stable population trends."
Botaurus stellaris,"Botaurus stellaris, commonly known as the Eurasian bittern, is a species of heron found across temperate and subtropical regions of Europe, Asia, and parts of North Africa. It inhabits reed beds and freshwater marshes, where dense vegetation provides cover for nesting and feeding. The species primarily preys on fish, amphibians, and aquatic invertebrates, employing a stealthy hunting technique. Botaurus stellaris is largely solitary and exhibits cryptic plumage enabling camouflage in reed environments. Its booming call is distinctive during the breeding season. While populations have declined due to habitat loss and wetland drainage, conservation efforts have stabilized some populations, and it is currently listed as Least Concern by the IUCN."
Calidris alpina,"Calidris alpina, commonly known as the dunlin, is a small to medium-sized shorebird widely distributed across the Northern Hemisphere. It inhabits coastal mudflats, estuaries, and tundra regions during breeding and non-breeding seasons. The species breeds primarily in Arctic and subarctic tundra, migrating to temperate coasts in Europe, Asia, and North America for wintering. Its diet consists mainly of small invertebrates, such as insects, mollusks, and crustaceans, foraged by probing soft substrates. Dunlins exhibit migratory behavior, often forming large flocks. The species is currently classified as Least Concern by the IUCN, though habitat degradation and climate change pose localized threats."
Caprimulgus europaeus,"Caprimulgus europaeus, commonly known as the European nightjar, is a nocturnal bird species within the family Caprimulgidae. It inhabits open woodlands, heathlands, and moorlands across Europe and parts of western Asia, typically favoring areas with sparse undergrowth. Its distribution extends from southern Scandinavia through central and southern Europe to northwest Africa. The diet primarily consists of nocturnal flying insects, caught during twilight and nighttime hours. The species exhibits cryptic plumage for camouflage and relies on silent flight to avoid predators. European nightjars are migratory, wintering in sub-Saharan Africa. The IUCN currently classifies C. europaeus as Least Concern, though habitat loss poses localized threats."
Carduelis carduelis,"Carduelis carduelis, commonly known as the European goldfinch, is a small passerine bird native to Europe, North Africa, and western and central Asia. It typically inhabits open woodlands, gardens, parks, and farmland with scattered trees and shrubs. The species exhibits a granivorous diet primarily consisting of small seeds, particularly from thistle and teasel plants, supplemented occasionally by insects during the breeding season. European goldfinches are gregarious outside the breeding period, often forming flocks. Their distinctive red face, black-and-white head, and yellow wing patches aid in identification. The species is currently classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Certhia brachydactyla,"Certhia brachydactyla, commonly known as the Short-toed Treecreeper, is a small passerine bird inhabiting deciduous and mixed woodlands across most of Europe and parts of North Africa. It prefers mature forests with abundant tree bark, which it uses for foraging. The species feeds primarily on insects and spiders, which it extracts from crevices in the bark by creeping along tree trunks and branches using its curved bill and stiff tail for support. Behaviorally, it is solitary or found in pairs, often joining mixed-species foraging flocks outside the breeding season. The Short-toed Treecreeper is currently classified as Least Concern by the IUCN, with stable population trends."
Certhia familiaris,"Certhia familiaris, commonly known as the Eurasian treecreeper, is a small passerine bird characterized by its slender down-curved bill and stiff tail feathers used for climbing. It inhabits mature deciduous and mixed woodlands across a broad Palearctic range, from Western Europe to temperate Asia. The species forages primarily on tree trunks and branches, feeding on insects, spiders, and other small invertebrates found beneath bark. Behavioral adaptations include a creeping flight pattern and use of bark crevices for nesting. Certhia familiaris is generally solitary or found in pairs outside the breeding season. It is currently classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Cettia cetti,"Cettia cetti, commonly known as the Cetti's warbler, is a small passerine bird found primarily in southern and central Europe, extending into parts of North Africa and western Asia. It inhabits dense, scrubby vegetation near water bodies, such as reed beds, thickets, and riverbanks. The species is insectivorous, feeding mainly on insects and other small invertebrates. Notably elusive, Cetti's warbler is more often detected by its loud, explosive song than by sight. Breeding occurs in spring and early summer, with nests constructed close to the ground within dense cover. Currently, Cettia cetti is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Charadrius dubius,"Charadrius dubius, commonly known as the little ringed plover, is a small wader species distributed across Europe, Asia, and parts of North Africa. It typically inhabits open gravel or sandy areas near freshwater bodies such as rivers, lakes, and reservoirs. The species feeds primarily on invertebrates, including insects, worms, and crustaceans, foraged by visually detecting prey on the ground. Little ringed plovers exhibit territorial breeding behavior, nesting in shallow scrapes lined with small stones. They are migratory, with many populations wintering in Africa and South Asia. Currently, Charadrius dubius holds a conservation status of Least Concern, although habitat disturbance may locally impact populations."
Charadrius hiaticula,"Charadrius hiaticula, commonly known as the common ringed plover, is a small shorebird characterized by its distinctive black and white head pattern and orange legs. It inhabits coastal areas, including sandy beaches, mudflats, and estuaries, primarily across the Northern Hemisphere. Its breeding range extends through northern Europe and Asia, while it migrates to coastal regions in western Europe, Africa, and South Asia during winter. The species primarily feeds on invertebrates such as insects, crustaceans, and worms, foraging by sight along shorelines. Behaviorally, it is territorial during the breeding season, exhibiting distraction displays to protect nests. Currently, Charadrius hiaticula is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Chloris chloris,"Chloris chloris, commonly known as the European greenfinch, is a small passerine bird belonging to the finch family Fringillidae. It inhabits a variety of environments including woodlands, gardens, parks, and farmland across Europe, North Africa, and parts of western Asia. Its diet primarily consists of seeds, particularly from plants such as dandelions and sunflowers, supplemented occasionally with insects during the breeding season. The species exhibits social behavior, often forming flocks outside the breeding period. Breeding involves the construction of a neat cup-shaped nest in trees or shrubs. Currently, Chloris chloris is classified as Least Concern by the IUCN, though localized population declines have been observed due to habitat loss and disease."
Chroicocephalus ridibundus,"Chroicocephalus ridibundus, commonly known as the black-headed gull, is a small gull species widely distributed across Europe and Asia, with seasonal migrations extending to parts of Africa. This species inhabits diverse wetland environments, including coastal regions, inland lakes, rivers, and marshes. Its diet primarily consists of insects, fish, mollusks, and various invertebrates, often foraged through surface dipping or scavenging. Black-headed gulls exhibit social behavior, frequently forming large breeding colonies and displaying vocal communication. The species is adaptable to urban areas, sometimes exploiting anthropogenic food sources. Currently, Chroicocephalus ridibundus is classified as Least Concern by the IUCN due to its extensive range and stable population trends."
Coccothraustes coccothraustes,"Coccothraustes coccothraustes, commonly known as the Eurasian Bullfinch, is a passerine bird species within the finch family (Fringillidae). It inhabits mixed and deciduous woodlands, particularly favoring areas with dense understory and hedgerows. The species is widely distributed across Europe and temperate Asia, extending into parts of the Middle East. Its diet primarily consists of seeds, buds, and fruits, with a strong preference for seeds of hard-shelled plants, facilitated by its robust bill. Coccothraustes coccothraustes exhibits shy behavior, often remaining concealed in dense vegetation. The species is currently classified as Least Concern by the IUCN, reflecting a stable population trend."
Corvus corax,"Corvus corax, commonly known as the common raven, is a large passerine bird within the family Corvidae. It exhibits a broad distribution across the Northern Hemisphere, inhabiting diverse environments including forests, mountains, deserts, and tundra. Ravens are highly adaptable and opportunistic feeders, with a diet comprising carrion, small mammals, insects, grains, and human refuse. Behavioral traits include complex vocalizations, problem-solving intelligence, and strong territoriality. Ravens are often observed in pairs or small groups and demonstrate cooperative behaviors. Currently, Corvus corax is classified as Least Concern by the IUCN, reflecting stable populations and resilience to habitat changes."
Corvus corone,"Corvus corone, commonly known as the carrion crow, is a widespread passerine bird native to Europe and parts of Asia. It inhabits diverse environments, including urban areas, woodlands, farmland, and coastal regions. The species is highly adaptable, often found near human settlements. Its diet is omnivorous and opportunistic, comprising carrion, insects, seeds, small animals, and food waste. Behaviorally, C. corone is noted for its intelligence, problem-solving skills, and complex social interactions, often forming large roosts. Breeding typically occurs in spring, with nests constructed in trees or tall structures. The IUCN classifies the carrion crow as Least Concern due to its stable and extensive population."
