scientificName,description
Acrocephalus arundinaceus,"Acrocephalus arundinaceus, commonly known as the great reed warbler, is a large passerine bird primarily found across Europe and western Asia. It inhabits dense reed beds in freshwater wetlands, often near lakes, slow-flowing rivers, and marshes. The species is insectivorous, feeding mainly on large insects and spiders, occasionally consuming small vertebrates. Behaviorally, it is known for its loud and complex song, which plays a role in territorial defense and mate attraction. The great reed warbler is migratory, wintering in sub-Saharan Africa. Its population is currently stable, and the species is classified as Least Concern by the IUCN, although habitat loss poses localized threats."
Acrocephalus dumetorum,"Acrocephalus dumetorum, commonly known as the Blyth's Reed Warbler, is a small passerine bird primarily inhabiting dense shrubbery and thickets often near water bodies. Its distribution spans across parts of South and Southeast Asia, including northeastern India, Bangladesh, and extending into Myanmar. The species primarily feeds on insects and small invertebrates, foraging actively among foliage. Behaviorally, it is known for its inconspicuous nature and distinctive song, which plays a role in territory defense and mate attraction. Currently, Acrocephalus dumetorum is classified as Least Concern by the IUCN, with stable population trends and no major widespread threats identified."
Acrocephalus palustris,"Acrocephalus palustris, commonly known as the marsh warbler, is a passerine bird species distributed across Europe and western Asia. It primarily inhabits dense wetland vegetation, including reed beds, marshes, and shrubby areas near water bodies. The species is migratory, wintering in sub-Saharan Africa. Its diet mainly consists of insects and other small invertebrates, which it forages for among dense vegetation. The marsh warbler exhibits complex vocalizations, often incorporating mimicry of other bird species into its song, primarily used during the breeding season to attract mates and defend territory. Currently, Acrocephalus palustris is classified as Least Concern by the IUCN, with stable population trends across its range."
Acrocephalus schoenobaenus,"Acrocephalus schoenobaenus, commonly known as the Sedge Warbler, is a small migratory passerine bird widely distributed across Europe and western Asia. It predominantly inhabits wetlands, reed beds, and areas with dense vegetation near water bodies. Its diet mainly consists of insects and other small invertebrates, which it actively forages from foliage and reed stems. The Sedge Warbler exhibits complex vocalizations used in territorial defense and mate attraction. Breeding occurs in dense vegetation, where nests are constructed close to the ground. Currently, Acrocephalus schoenobaenus is classified as Least Concern by the IUCN, with stable population trends across much of its range."
Acrocephalus scirpaceus,"Acrocephalus scirpaceus, commonly known as the Eurasian reed warbler, is a small passerine bird predominantly inhabiting reed beds across Europe and parts of western Asia. Its distribution extends from western Europe to western Siberia, with migratory populations wintering in sub-Saharan Africa. The species primarily feeds on insects and other small invertebrates, foraging among dense reed vegetation. Behavioral characteristics include a distinctive, repetitive song used during the breeding season to establish territory and attract mates. Nests are typically constructed low within reed stems. Currently, Acrocephalus scirpaceus is classified as Least Concern by the IUCN, reflecting stable population trends despite habitat challenges."
Actitis hypoleucos,"Actitis hypoleucos, commonly known as the common sandpiper, is a small wader bird characterized by its distinctive white underparts and brown upperparts with a noticeable white wing stripe in flight. It inhabits freshwater and coastal environments, including riverbanks, lakeshores, and estuaries across Europe, Asia, and parts of Africa during winter. The species exhibits a migratory behavior, breeding in temperate regions and wintering in tropical areas. Its diet primarily consists of insects, crustaceans, and other small invertebrates, which it forages by probing and pecking along shallow waters. Actitis hypoleucos is currently classified as Least Concern by the IUCN, reflecting stable population trends across its range."
Aegithalos caudatus,"Aegithalos caudatus, commonly known as the long-tailed tit, is a small passerine bird characterized by its notably elongated tail. This species inhabits mixed woodlands, hedgerows, and scrub areas across much of Europe and parts of Asia. It exhibits a widespread distribution from western Europe to eastern Siberia. The diet primarily consists of small insects and spiders, supplemented by seeds during winter. Long-tailed tits are highly social, often forming flocks outside the breeding season and cooperating in nest building and chick rearing. Currently, Aegithalos caudatus is classified as Least Concern by the IUCN, reflecting a stable population without significant threats."
Alauda arvensis,"Alauda arvensis, commonly known as the Eurasian skylark, is a passerine bird widely distributed across Europe, Asia, and northern Africa. It inhabits open grasslands, farmlands, and heathlands, favoring areas with low vegetation that facilitate its ground-foraging behavior. The species primarily consumes seeds and insects, adapting its diet seasonally to include more invertebrates during breeding. Notable for its complex, melodious song delivered during ascending flight displays, Alauda arvensis exhibits territorial and mating behaviors typical of ground-nesting birds. Currently, the species is classified as Least Concern by the IUCN, though localized population declines have been observed, mainly due to agricultural intensification and habitat loss."
Anas crecca,"Anas crecca, commonly known as the Eurasian teal, is a small dabbling duck species distributed widely across temperate regions of Europe and Asia. It inhabits freshwater wetlands, including marshes, lakes, and slow-flowing rivers, often favoring shallow waters with abundant vegetation. The species primarily feeds on seeds, aquatic plants, and small invertebrates, utilizing surface dabbling and occasional upending behaviors to forage. Anas crecca is migratory, with northern populations moving to milder climates during winter. Social by nature, it often forms mixed flocks with other waterfowl. Currently, the Eurasian teal is classified as Least Concern by the IUCN, reflecting a stable global population."
Anas platyrhynchos,"Anas platyrhynchos, commonly known as the mallard, is a widely distributed dabbling duck native to North America, Europe, and Asia, with introduced populations globally. It inhabits diverse freshwater environments such as lakes, ponds, rivers, marshes, and estuaries. The mallard’s diet is omnivorous, comprising aquatic vegetation, seeds, insects, and small invertebrates. Behaviorally, it exhibits migratory patterns in colder regions and is known for its social nature, often forming loose flocks outside the breeding season. Breeding involves ground nests near water, with females incubating eggs. The species is classified as Least Concern by the IUCN, reflecting a stable and abundant population."
Anser anser,"Anser anser, commonly known as the greylag goose, is a large waterfowl species native to Europe and parts of Asia. It inhabits wetlands, lakes, marshes, and agricultural fields, favoring shallow freshwater environments for breeding and feeding. Its range extends from Iceland and the British Isles across northern and central Europe to western Siberia. The species is primarily herbivorous, feeding on grasses, roots, stems, and agricultural crops. Anser anser exhibits strong migratory behavior, with northern populations moving southward during winter. Social in nature, it forms large flocks outside the breeding season. Currently, the species is classified as Least Concern by the IUCN, reflecting a stable population trend."
Anthus pratensis,"Anthus pratensis, commonly known as the Meadow Pipit, is a small passerine bird widespread across Europe and parts of western Asia. It primarily inhabits open landscapes such as grasslands, moorlands, and heathlands, often favoring damp or upland areas. The species exhibits a predominantly insectivorous diet, feeding on insects and other small invertebrates, supplemented occasionally by seeds. Meadow Pipits display ground-nesting behavior and are known for their characteristic undulating flight and melodious song during the breeding season. Populations remain stable over much of their range, and consequently, the species is classified as Least Concern by the IUCN Red List, though local declines may occur due to habitat loss."
Anthus trivialis,"Anthus trivialis, commonly known as the Tree Pipit, is a small passerine bird found across much of Europe and parts of Asia. It typically inhabits open woodlands, clearings, and forest edges, favoring areas with scattered trees and grassy undergrowth. The species is migratory, breeding in temperate regions and wintering in sub-Saharan Africa. Its diet consists primarily of insects and other small invertebrates, supplemented by seeds during colder months. Behaviorally, Anthus trivialis is noted for its distinctive undulating flight and vocal song flights during the breeding season. Currently, its conservation status is classified as Least Concern, with stable population trends across its range."
Ardea cinerea,"Ardea cinerea, commonly known as the grey heron, is a large wading bird widely distributed across parts of Europe, Asia, and Africa. It typically inhabits wetlands, including rivers, lakes, marshes, and coastal regions, where it favors shallow waters for foraging. The grey heron's diet primarily consists of fish, amphibians, small mammals, and insects, caught through patient stalking and swift striking. Behaviorally, it is often solitary when feeding but may nest colonially in trees near water bodies. Classified as Least Concern by the IUCN, Ardea cinerea benefits from its broad range and adaptability, although local populations can be affected by wetland degradation and pollution."
Asio otus,"Asio otus, commonly known as the Long-eared Owl, is a medium-sized owl species with distinctive long ear tufts. It inhabits a variety of wooded environments including coniferous and mixed forests, often near open areas suitable for hunting. Its distribution spans across North America, Europe, and parts of Asia. The diet primarily consists of small mammals, particularly voles, along with small birds and insects. Asio otus is primarily nocturnal and exhibits secretive behavior, roosting in dense foliage during daylight. The species is classified as Least Concern by the IUCN, with stable populations, although habitat loss and human disturbance can locally impact numbers."
Athene noctua,"Athene noctua, commonly known as the little owl, is a small owl species native to parts of Europe, Asia, and North Africa. It typically inhabits open countryside with scattered trees, farmlands, orchards, and semi-desert areas. This species is widely distributed from Spain and the UK across central and southern Europe to western and central Asia. The little owl’s diet mainly consists of insects, small mammals, birds, and amphibians. It is primarily crepuscular and nocturnal, exhibiting territorial behavior and using tree cavities, buildings, or nest boxes for breeding. Athene noctua is classified as Least Concern by the IUCN due to its broad range and stable population trends."
Botaurus stellaris,"Botaurus stellaris, commonly known as the Eurasian bittern, is a species of heron found across Europe, parts of Asia, and North Africa. It inhabits dense reed beds and freshwater wetlands, relying on tall vegetation for concealment. The diet primarily consists of fish, amphibians, insects, and small mammals. This species is generally solitary and cryptic, employing a distinctive booming call during the breeding season to establish territory. Breeding occurs in spring, with nests constructed on or near the water within reed beds. Although habitat loss has caused regional declines, Botaurus stellaris is currently classified as Least Concern by the IUCN due to its wide distribution and stable overall population."
Calidris alpina,"Calidris alpina, commonly known as the dunlin, is a small wader species inhabiting coastal wetlands, mudflats, and estuaries primarily across the Arctic and sub-Arctic regions during the breeding season. It exhibits a circumpolar distribution, breeding in northern Europe, Asia, and North America, and migrating to temperate and tropical coastal areas in the non-breeding season. The dunlin's diet consists predominantly of small invertebrates, including insects, mollusks, and crustaceans, which it forages by probing the mud with its bill. Behavioral characteristics include flocking during migration and wintering periods, often forming large aggregations. Currently, Calidris alpina is classified as Least Concern by the IUCN, though habitat changes and climate factors necessitate ongoing monitoring."
Caprimulgus europaeus,"Caprimulgus europaeus, commonly known as the European nightjar, is a nocturnal bird species found across Europe, western Asia, and parts of North Africa. Its preferred habitats include open woodlands, heathlands, and scrub areas with sparse vegetation, often reliant on sandy or stony soils for nesting. The species primarily feeds on flying insects such as moths, beetles, and other nocturnal arthropods, capturing prey during low flight at dusk and dawn. European nightjars exhibit cryptic plumage that provides camouflage against the forest floor, and they are known for their distinctive churring call. Currently, Caprimulgus europaeus is classified as Least Concern by the IUCN, although habitat loss and changes in land management practices pose potential threats to local populations."
Carduelis carduelis,"Carduelis carduelis, commonly known as the European goldfinch, is a small passerine bird belonging to the family Fringillidae. It inhabits open woodland, gardens, parks, and farmland with scattered trees and shrubs across Europe, North Africa, and parts of western and central Asia. The species favors temperate climates and is often found at low to moderate elevations. Its diet primarily consists of small seeds, particularly from thistles and teasels, supplemented occasionally by insects during the breeding season. Carduelis carduelis exhibits social behavior, often forming flocks outside the breeding period. It is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Certhia brachydactyla,"Certhia brachydactyla, commonly known as the short-toed treecreeper, is a small passerine bird found primarily across temperate regions of Europe and parts of North Africa. Its preferred habitat includes mature deciduous and mixed woodlands with abundant tree bark for foraging. This species primarily feeds on small insects and spiders, which it extracts from bark crevices using its slender, curved bill. Behaviorally, C. brachydactyla exhibits specialized climbing, ascending tree trunks in a spiral fashion while using its stiff tail for support. The bird is generally solitary or found in pairs outside the breeding season. Currently, its conservation status is assessed as Least Concern, with stable populations throughout its range."
Certhia familiaris,"Certhia familiaris, commonly known as the Eurasian treecreeper, is a small passerine bird distributed across temperate Europe and northern Asia. It primarily inhabits mature deciduous and mixed forests, favoring trees with rough bark suitable for foraging. The species exhibits a distinctive behavior of creeping spirally up tree trunks and large branches while searching for insects, spiders, and other small invertebrates hidden in bark crevices. It uses its slender, curved bill to extract prey and often descends rapidly to the base of another tree to repeat the process. Eurasian treecreepers are generally solitary or found in pairs outside the breeding season. Currently, Certhia familiaris is classified as Least Concern by the IUCN due to its wide range and stable population."
Cettia cetti,"Cettia cetti, commonly known as the Cetti's warbler, is a small passerine bird belonging to the family Cettiidae. It is widely distributed across southern Europe, North Africa, and parts of western Asia. The species typically inhabits dense, shrubby vegetation near water bodies such as rivers, lakes, and wetlands. Its diet primarily consists of insects and other small invertebrates, which it forages for within thick undergrowth. Cettia cetti is noted for its loud and distinctive song, often delivered from concealed perches. Behaviorally, it is secretive and tends to remain hidden. The species is currently classified as Least Concern by the IUCN, reflecting its stable population and extensive range."
Charadrius dubius,"Charadrius dubius, commonly known as the little ringed plover, is a small wader species found across Europe, Asia, and parts of North Africa. It inhabits open gravelly or sandy areas near freshwater bodies, such as riverbanks, lakeshores, and reservoirs. The species primarily feeds on insects, small crustaceans, and other invertebrates, foraging by sight and probing the substrate. Little ringed plovers exhibit territorial breeding behavior, nesting on bare ground with minimal vegetation. Their call is a distinctive high-pitched “pee-wee” sound. Currently, Charadrius dubius is classified as Least Concern by the IUCN, with stable populations due to its wide range and adaptability to disturbed habitats."
Charadrius hiaticula,"Charadrius hiaticula, commonly known as the common ringed plover, is a small wader characterized by its distinctive black and white head pattern and orange legs. It inhabits coastal areas such as sandy beaches, mudflats, and estuaries, primarily across Europe, northern Africa, and parts of Asia. Its diet consists mainly of invertebrates, including insects, crustaceans, and worms, which it forages for by sight on exposed shorelines during low tide. Breeding behavior involves nesting in shallow scrapes on gravel or sand. The species is currently classified as Least Concern by the IUCN, with stable population trends, though it remains susceptible to habitat disturbance and coastal development."
Chloris chloris,"Chloris chloris, commonly known as the European greenfinch, is a small passerine bird in the finch family Fringillidae. It is widely distributed across Europe, North Africa, and southwestern Asia, inhabiting woodland edges, farmland, gardens, and parks. The species exhibits a robust body with predominantly greenish-yellow plumage and a stout conical beak adapted for seed consumption. Its diet primarily consists of seeds from various plants, supplemented seasonally by berries and insects. The greenfinch is generally gregarious outside the breeding season, often forming flocks. Currently, it is classified as Least Concern by the IUCN, though some populations face local declines due to habitat changes and disease."
Chroicocephalus ridibundus,"Chroicocephalus ridibundus, commonly known as the black-headed gull, is a small to medium-sized gull species widely distributed across Europe and Asia. It inhabits diverse environments including coastal areas, inland wetlands, lakes, and rivers. This species exhibits opportunistic feeding behavior, consuming a varied diet of insects, fish, crustaceans, and human refuse. Black-headed gulls are known for their social nature, forming large breeding colonies and exhibiting complex vocal communications. They nest on the ground, often in dense colonies, and display significant parental care. Currently, Chroicocephalus ridibundus is classified as Least Concern by the IUCN due to its large and stable population."
Coccothraustes coccothraustes,"Coccothraustes coccothraustes, commonly known as the hawfinch, is a passerine bird belonging to the finch family Fringillidae. It is distributed across temperate regions of Europe and parts of Asia, inhabiting deciduous and mixed woodlands, often favoring areas with abundant fruiting trees. The species primarily feeds on seeds, particularly those with hard shells, such as cherry stones and hornbeam seeds, utilizing its powerful beak to crack them. Its diet also includes buds, fruits, and insects. The hawfinch is generally a solitary or small-group forager, exhibiting a secretive and quiet behavior, making it less conspicuous. It is currently classified as Least Concern by the IUCN, with stable population trends."
Corvus corax,"Corvus corax, commonly known as the common raven, is a large passerine bird found across the Northern Hemisphere. Its distribution spans North America, Europe, Asia, and North Africa, inhabiting diverse environments including forests, mountains, deserts, and coastal regions. The species is an omnivore with a highly varied diet consisting of carrion, small animals, insects, grains, and human refuse. Ravens exhibit complex social behavior, including problem-solving skills, vocal communication, and aerial acrobatics. They are typically monogamous and maintain territories year-round. Currently, Corvus corax is classified as Least Concern by the IUCN, reflecting its wide range and stable population trends."
Corvus corone,"Corvus corone, commonly known as the carrion crow, is a passerine bird belonging to the family Corvidae. It is widely distributed across western, central, and northern Europe, extending into parts of Asia. The species inhabits diverse environments, including woodlands, farmland, urban areas, and coastal regions. As an omnivore, its diet consists of carrion, invertebrates, small vertebrates, seeds, and human refuse. Carrion crows exhibit high intelligence and adaptability, often demonstrating problem-solving abilities and complex social behavior. They are generally solitary or found in small groups outside the breeding season. Currently, Corvus corone is classified as Least Concern by the IUCN, reflecting its stable and widespread population."
Coturnix coturnix,"Coturnix coturnix, commonly known as the common quail, is a small terrestrial bird native to Europe, North Africa, and parts of Asia. It inhabits open landscapes such as grasslands, agricultural fields, and scrublands. The species is migratory, with populations moving southward during winter. Its diet primarily consists of seeds, grains, and small invertebrates, reflecting its omnivorous feeding habits. Coturnix coturnix exhibits shy and elusive behavior, often remaining concealed in dense vegetation to avoid predators. Currently, it is classified as Least Concern by the IUCN, though habitat loss and hunting pressure in some regions warrant ongoing monitoring to ensure population stability."
Cuculus canorus,"Cuculus canorus, commonly known as the common cuckoo, is a migratory bird species found across Europe and Asia, extending into northern Africa during winter. It inhabits a range of environments including woodlands, open fields, and wetlands. The species is primarily insectivorous, feeding on caterpillars, insects, and their larvae. Known for its distinctive repetitive call, the common cuckoo exhibits brood parasitism, laying eggs in the nests of other bird species to ensure offspring survival. This behavior influences local avian communities. Currently, Cuculus canorus is classified as Least Concern by the IUCN, with stable population trends, although habitat changes may pose regional threats."
